harm_one,harm_two,harm_three,harm_four,harm_five
0.686286822,0.123347729,0.080781276,0.081155433,0.028428739
0.562820381,0.257769617,0.056294846,0.09617981,0.026935346
0.443004746,0.365090608,0.038180394,0.120791322,0.03293293
0.525411207,0.286186096,0.071753451,0.092287581,0.024361665
0.645966654,0.205208885,0.063075621,0.067300157,0.018448684
0.729315674,0.139831356,0.06862607,0.046976863,0.015250036
0.688453709,0.201369122,0.064320112,0.032979119,0.012877937
0.625494936,0.299737043,0.034835557,0.029771685,0.010160779
0.587041984,0.358084699,0.020389903,0.025196572,0.009286841
0.68850343,0.196296338,0.064024334,0.040569954,0.010605944
0.749172947,0.110640514,0.060104204,0.056268494,0.023813841
0.761838927,0.133130083,0.046169995,0.037949793,0.020911202
0.769051449,0.175953244,0.031799488,0.013385308,0.009810511
0.750065012,0.19778658,0.018726916,0.028234897,0.005186594
0.763806073,0.163402625,0.013783331,0.051061171,0.0079468
0.799153062,0.108302169,0.031336735,0.046386319,0.014821715
0.834899805,0.067050678,0.050312396,0.022323947,0.025413174
0.866004747,0.033206885,0.049414528,0.018569249,0.032804591
0.758398153,0.142539661,0.03452135,0.037146191,0.027394646
0.680665911,0.225521763,0.03945986,0.038251958,0.016100507
0.623337394,0.279331445,0.054848696,0.030233688,0.012248777
0.637963319,0.276393199,0.056256719,0.016949949,0.012436814
0.612753806,0.273918145,0.068451011,0.028017773,0.016859265
0.637994494,0.247579863,0.060715001,0.040641691,0.01306895
0.609489798,0.283779402,0.03548881,0.065943601,0.005298389
0.685545231,0.193844647,0.034785661,0.070255824,0.015568637
0.509990906,0.32044941,0.080299623,0.042735349,0.046524713
0.423868333,0.281490688,0.185052367,0.051120245,0.058468367
0.547679955,0.061050136,0.20467406,0.138234684,0.048361165
0.400519853,0.351620667,0.107358637,0.113803648,0.026697196
0.43436741,0.384025983,0.092660432,0.07370049,0.015245686
0.424584253,0.398556932,0.079034328,0.083689344,0.014135144
0.595900067,0.232863341,0.062706067,0.097029882,0.011500643
0.604513598,0.182263937,0.087062155,0.120572327,0.005587983
0.514475607,0.231076493,0.055900721,0.180910121,0.017637058
0.418961305,0.381346761,0.041395517,0.138748304,0.019548113
0.383004113,0.442397911,0.04728772,0.107832875,0.019477381
0.430971532,0.412657083,0.076557868,0.066246406,0.013567111
0.242791146,0.60977874,0.08226624,0.054945736,0.010218138
0.186399531,0.69041262,0.057221123,0.055289583,0.010677143
0.401167128,0.511120621,0.03821892,0.039808002,0.00968533
0.693073598,0.101392399,0.099031689,0.070321992,0.036180321
